name,recommend,water_g,nitrogen_g,protein_g,fat_g,carbohydrate_g,energy_kcal,energy_kJ,starch_g,oligosaccharide_g,sugar_g,glucose_g,galactose_g,fructose_g,sucrose_g,maltose_g,lactose_g,alcohol_g,non_starch_polysaccharide_g,fibre_g,saturated_fat_g,n_6_polyunsaturated_fat_g,n_3_polyunsaturated_fat_g,cis_monounsaturated_g,monounsaturated_fat_g,cis_polyunsaturated_fat_g,polyunsaturated_fat_g,branched_chain_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,copper_mg,zinc_mg,chloride_mg,manganese_mg,selenium_ug,iodine_ug,retinol_ug,carotene_ug,retinol_equivalent_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k1_ug,thiamin_mg,riboflavin_mg,niacin_mg,tryptophan_over_60_mg,niacin_equivalent_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenate_mg,biotin_ug,vitamin_c_mg
unit,,g,g,g,g,g,kcal,kJ,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,ug,ug,ug,ug,ug,ug,mg,ug,mg,mg,mg,mg,mg,mg,ug,ug,mg,ug,mg
code,,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFOD,TOTn6PFOD,TOTn3PFOD,MONOFODc,MONOFOD,POLYFODc,POLYFOD,TOTBRFOD,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
detail,,Water,Total nitrogen,Protein,Fat,Carbohydrate,Energy (kcal),Energy (kJ),Starch,Oligosaccharide,Sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids,Total n-6 polyunsaturated fatty acids,Total n-3 polyunsaturated fatty acids,cis-Monounsaturated fatty acids,Monounsaturated fatty acids,cis-Polyunsaturated fatty acids,Polyunsaturated fatty acids,Total branched chain,Total Trans fatty acids,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Vitamin D,Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
recommended_intake,,,,60,,,2250,9400,,,,,,,,,,,,30,,,,,,,,,,,1600,3500,1000,300,775,15,1.2,9.5,2500,2.3,75,140,900,,,10,15,100,1.1,1.3,18,,,1.5,1.5,200,,,40
"Ackee, canned, drained",TRUE,76.7,0.46,2.9,15.2,0.8,151,625,0,0,0.8,0.1,0.0,0,0.7,0.0,0.0,0,N,0,N,0.52,0.07,7.11,N,0.60,N,0.01,0.00,0.0,240,270,35,40,47,0.70,0.27,0.6,340,N,N,0,0,N,N,0.0,N,0,0.03,0.07,0.6,0.5,1.1,0.06,0.0,41,N,N,30
"Agar, dried",TRUE,9.7,0.26,1.3,1.2,0,16,67,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,81.1,0,0.30,0,0,0,0.10,0,0.40,0,0,0.0,110,110,760,620,50,20.60,N,14.4,N,4.30,N,N,0,0,0,0.0,0,0,0.01,0.22,0.2,N,N,0,0.0,0,0,0,0
"Agar, dried, soaked and drained",TRUE,84.2,0.03,0.2,0.1,0,2,7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,10,20,110,75,8,3.50,N,2.5,N,0.40,N,N,0,0,0,0.0,0,0,0.01,0.04,0.1,N,N,0,0.0,0,0,0,0
"Alfalfa sprouts, raw",TRUE,93.4,0.64,4.0,0.7,0.4,24,100,0,0,0.3,0.1,0.0,0.2,0,0.0,0.0,0,1.7,0,N,0,0,0,N,0,N,0,0,0.0,6,79,32,27,70,1.00,0.16,0.9,N,0.20,N,N,0,96,16,0.0,N,0,0.04,0.06,0.5,0.6,1.1,0.03,0.0,36,0.56,N,2
"Allspice, ground",TRUE,8.5,0.98,6.1,8.7,N,N,N,N,0,N,N,0.0,N,N,0.0,0.0,0,N,0,2.50,0,0,0,0.70,0,2.40,0,0,0.0,77,1040,660,130,110,7.10,0.55,1.0,N,1.70,N,N,0,325,54,0.0,N,0,0.10,0.06,2.9,N,N,N,0.0,0,N,N,0
"Almonds, flaked and ground",TRUE,4.2,4.07,21.1,55.8,6.9,612,2534,2.7,0,4.2,0,0,0,4.2,0.0,0.0,0.0,7.4,N,4.43,10.19,0.27,38.19,38.19,10.46,10.46,0.00,0.00,0.0,14,780,240,270,550,3.00,1.00,3.2,18,1.70,2,2,0,0,0,0.0,23.96,0,0.21,0.75,3.1,3.4,6.5,0.15,0.0,48,0.44,64.0,0
"Almonds, toasted",TRUE,2.4,4.05,21,52.5,5.9,579,2394,0.8,0,5.1,0,0,0,5,0.1,0,0,N,10.9,4.09,0,0,0,33.08,0,12.96,0,0.01,0,3,713,268,279,471,3.73,1.1,3.3,18,2.23,2,2,0,1,0,0,23.9,0,0.08,1.2,3.6,3.5,7.1,0.14,0,55,0.32,49,0
"Almonds, weighed with shells",TRUE,1.6,1.51,7.8,18.5,1.9,205,847,0.3,0,1.6,0.1,0,0,1.5,0,0,0,N,4.6,1.41,0,0,0,11.67,0,4.56,0,0.01,0,0,271,100,100,178,1.37,0.38,1.2,7,0.81,2,1,0,0,0,0,9.48,0,0.08,0.42,1.3,1.3,2.6,0.05,0,16,0.17,23.7,0
